id,key,value,type
16313073,cycleway,lane,regular
16313073,highway,tertiary,regular
16313073,lanes,2,regular
16313073,maxspeed,50,regular
16313073,name,Hugona Kołłątaja,regular
16313073,de,Taschenstraße,old_name
16313073,oneway,yes,regular
16313073,maxspeed,PL:urban,source
16313073,surface,asphalt,regular
16313075,highway,tertiary,regular
16313075,lanes,1,regular
16313075,maxspeed,50,regular
16313075,conditional,60 @ (23:00-05:00),maxspeed
16313075,name,Marszałka Józefa Piłsudskiego,regular
16313075,de,Gartenstraße,old_name
16313075,oneway,yes,regular
16313075,maxspeed,PL:urban,source
16313075,surface,asphalt,regular
16313077,highway,secondary_link,regular
16313077,lanes,1,regular
16313077,maxspeed,50,regular
16313077,conditional,60 @ (23:00-05:00),maxspeed
16313077,oneway,yes,regular
16313077,maxspeed,PL:urban,source
16313077,surface,asphalt,regular
16313659,highway,tertiary,regular
16313659,lanes,4,regular
16313659,maxspeed,50,regular
16313659,conditional,60 @ (23:00-05:00),maxspeed
16313659,name,Sądowa,regular
16313659,de,Neue Graupenstraße,name
16313659,pl,Sądowa,name
16313659,oneway,no,regular
16313659,maxspeed,PL:urban,source
16313659,surface,asphalt,regular
16313660,highway,tertiary,regular
16313660,lanes,2,regular
16313660,name,Kazimierza Wielkiego,regular
16313660,oneway,yes,regular
16313660,surface,asphalt,regular
16313660,lanes,reverse|left,turn
16313661,access,no,regular
16313661,highway,tertiary,regular
16313661,lanes,1,regular
16313661,motor_vehicle,no,regular
16313661,name,Kazimierza Wielkiego,regular
16313661,surface,asphalt,regular
16313662,highway,tertiary,regular
16313662,lanes,2,regular
16313662,maxspeed,50,regular
16313662,conditional,60 @ (23:00-05:00),maxspeed
16313662,name,Sądowa,regular
16313662,oneway,yes,regular
16313662,maxspeed,PL:urban,source
16313662,surface,asphalt,regular
16313663,highway,tertiary,regular
16313663,lanes,2,regular
16313663,maxspeed,50,regular
16313663,conditional,60 @ (23:00-05:00),maxspeed
16313663,name,Sądowa,regular
16313663,oneway,yes,regular
16313663,maxspeed,PL:urban,source
16313663,surface,asphalt,regular
16313664,highway,tertiary,regular
16313664,lanes,3,regular
16313664,maxspeed,50,regular
16313664,name,Podwale,regular
16313664,de,Stadtgraben,old_name
16313664,oneway,yes,regular
16313664,surface,asphalt,regular
16313664,lanes,left|through|through,turn
16313665,highway,tertiary,regular
16313665,lanes,1,regular
16313665,maxspeed,50,regular
16313665,name,Podwale,regular
16313665,oneway,yes,regular
16313665,maxspeed,PL:urban,source
16313665,surface,asphalt,regular
16313666,highway,tertiary,regular
16313666,lanes,4,regular
16313666,maxspeed,50,regular
16313666,conditional,60 @ (23:00-05:00),maxspeed
16313666,name,Plac Orląt Lwowskich,regular
16313666,maxspeed,PL:urban,source
16313666,surface,asphalt,regular
16314714,highway,tertiary,regular
16314714,lanes,2,regular
16314714,maxspeed,50,regular
16314714,conditional,60 @ (23:00-05:00),maxspeed
16314714,name,Tęczowa,regular
16314714,de,Siebenhufenerstraße,name
16314714,pl,Tęczowa,name
16314714,oneway,no,regular
16314714,maxspeed,PL:urban,source
16314714,surface,compacted:flattened,regular
16314715,fixme,Sprawdź nawierzchnię,regular
16314715,highway,tertiary,regular
16314715,lanes,1,regular
16314715,maxspeed,50,regular
16314715,conditional,60 @ (23:00-05:00),maxspeed
16314715,name,Plac Orląt Lwowskich,regular
16314715,oneway,yes,regular
16314715,maxspeed,PL:urban,source
16314715,surface,asphalt,regular
16314717,fixme,Sprawdź nawierzchnię,regular
16314717,highway,tertiary,regular
16314717,lanes,1,regular
16314717,maxspeed,50,regular
16314717,conditional,60 @ (23:00-05:00),maxspeed
16314717,name,Plac Orląt Lwowskich,regular
16314717,oneway,yes,regular
16314717,maxspeed,PL:urban,source
16314717,surface,sett,regular
16314720,highway,residential,regular
16314720,lanes,2,regular
16314720,backward,1,lanes
16314720,forward,1,lanes
16314720,name,Plac Orląt Lwowskich,regular
16314720,source,Ortofotomapa_Wroclaw,regular
16314722,highway,tertiary,regular
16314722,lanes,1,regular
16314722,maxspeed,50,regular
16314722,conditional,60 @ (23:00-05:00),maxspeed
16314722,name,Plac Orląt Lwowskich,regular
16314722,oneway,yes,regular
16314722,maxspeed,PL:urban,source
16314722,surface,asphalt,regular
16314723,highway,tertiary,regular
16314723,lanes,2,regular
16314723,maxspeed,50,regular
16314723,name,Świdnicka,regular
16314723,oneway,yes,regular
16314723,maxspeed,PL:urban,source
