id,user,uid,version,changeset,timestamp
21587265,Zbigniew_Czernik,163896,7,22188927,2014-05-07T14:22:01Z
21587268,Zbigniew_Czernik,163896,7,22188927,2014-05-07T14:22:01Z
21587270,wmyrda,1980824,19,51404903,2017-08-24T12:04:00Z
21587271,VRO,2167262,6,26898552,2014-11-20T00:22:33Z
21587272,VRO,2167262,6,26898552,2014-11-20T00:22:34Z
21587274,Zbigniew_Czernik,163896,6,22188927,2014-05-07T14:22:01Z
21587275,gdzie-dojade,1034786,5,14060433,2012-11-27T15:41:02Z
21587277,mrIimbsf,558320,9,22697666,2014-06-02T16:30:01Z
21587278,rowers2,2445224,7,34419819,2015-10-04T05:23:09Z
21587279,psboypl,2378643,3,26477191,2014-11-01T08:25:01Z
21587281,Seat Ibiza,48581,4,33271120,2015-08-11T15:59:54Z
21587282,rowers2,2445224,12,45323913,2017-01-20T10:58:43Z
21587283,rowers2,2445224,5,34226900,2015-09-24T14:11:20Z
21590766,rowers2,2445224,14,50113580,2017-07-07T16:48:34Z
21590767,wmyrda,1980824,16,51404903,2017-08-24T12:04:00Z
21593530,wmyrda,1980824,16,51404903,2017-08-24T12:04:01Z
21593533,maraf24,2098272,12,43412243,2016-11-04T23:23:13Z
21751090,LafarM,478109,10,54602066,2017-12-13T17:02:48Z
22548783,Daniel Pustuła,6385343,16,51250952,2017-08-19T09:32:35Z
22548790,maraf24,2098272,18,55063563,2017-12-31T18:01:29Z
22548792,maraf24,2098272,24,55063563,2017-12-31T18:01:29Z
22558472,LafarM,478109,20,54602066,2017-12-13T17:02:49Z
22558473,LafarM,478109,25,54602322,2017-12-13T17:15:45Z
22558474,wmyrda,1980824,23,51404903,2017-08-24T12:04:01Z
22558476,rowers2,2445224,12,50681842,2017-07-29T22:36:50Z
22558480,rowers2,2445224,8,50676822,2017-07-29T17:24:03Z
22558482,rowers2,2445224,12,50699635,2017-07-30T18:08:33Z
22558485,rowers2,2445224,6,50699635,2017-07-30T18:08:33Z
22558487,maraf24-repair,4571633,11,51629029,2017-08-31T21:53:09Z
22558489,rowers2,2445224,8,50699635,2017-07-30T18:08:33Z
22558491,rowers2,2445224,10,45319911,2017-01-20T07:34:06Z
22568616,rowers2,2445224,9,50695656,2017-07-30T14:55:11Z
22568617,rowers2,2445224,26,51587672,2017-08-30T17:18:52Z
22568618,rowers2,2445224,24,50699635,2017-07-30T18:08:33Z
22568619,rowers2,2445224,11,50676822,2017-07-29T17:24:03Z
22568620,rowers2,2445224,10,50686739,2017-07-30T07:48:14Z
22589077,maraf24,2098272,6,35750698,2015-12-04T16:00:26Z
22661271,rowers2,2445224,12,50676822,2017-07-29T17:24:04Z
22661272,rowers2,2445224,11,50698348,2017-07-30T16:58:45Z
22661273,rowers2,2445224,11,50681705,2017-07-29T22:23:22Z
22661274,Daniel Pustuła,6385343,10,51250952,2017-08-19T09:32:29Z
22661275,rowers2,2445224,15,50680548,2017-07-29T21:00:12Z
22661276,rowers2,2445224,17,51179909,2017-08-16T16:09:28Z
22661312,rowers2,2445224,17,50889222,2017-08-06T16:10:50Z
22661313,rowers2,2445224,11,50708597,2017-07-31T05:58:49Z
22664193,rowers2,2445224,5,50088350,2017-07-06T15:52:16Z
22664194,maraf24,2098272,4,29807533,2015-03-28T15:42:07Z
22664195,rowers2,2445224,3,50544085,2017-07-25T03:08:55Z
